TYP_CD_DES,STN_NAM_DE,latitude,longitude
MRT,TUAS LINK MRT STATION,1.340379947669372,103.63681865776238
MRT,TUAS WEST ROAD MRT STATION,1.3299818234787382,103.63962756135186
MRT,LITTLE INDIA MRT STATION,1.3071554950479627,103.849845108446
MRT,BOTANIC GARDENS MRT STATION,1.3224015074745468,103.81615888854232
MRT,PROMENADE MRT STATION,1.2927982016328428,103.86086463586969
MRT,CITY HALL MRT STATION,1.2929332374125195,103.8526085044375
MRT,OUTRAM PARK MRT STATION,1.2814122827524623,103.83914018158205
MRT,BISHAN MRT STATION,1.3508383851233448,103.8481435269448
MRT,SENGKANG MRT DEPOT,1.3876258703948339,103.88591939861978
MRT,EXPO MRT STATION,1.3345493614403126,103.9615462296742
LRT,FERNVALE LRT STATION,1.391944192480792,103.87627965689202
MRT,CHANGI DEPOT,1.3292467569104522,103.95985007874762
MRT,PUNGGOL MRT STATION,1.405132590965149,103.90237397823917
MRT,BUANGKOK MRT STATION,1.3827715836602885,103.89309246872061
LRT,BAKAU LRT STATION,1.3881050155201144,103.9055263466469
LRT,FARMWAY LRT STATION,1.3971619027116187,103.88938286088054
MRT,COMMONWEALTH MRT STATION,1.3024476463792758,103.79829071886974
LRT,KUPANG LRT STATION,1.3981975782368214,103.88137428318184
LRT,DAMAI LRT STATION,1.4053160222853007,103.908503577684
MRT,QUEENSTOWN MRT STATION,1.2946113319535577,103.80604523686009
MRT,KALLANG MRT STATION,1.3113966417300191,103.87131526311948
LRT,RUMBIA LRT STATION,1.391564445301814,103.90589048266459
LRT,PETIR LRT STATION,1.3777546493103332,103.76666731226106
MRT,BISHAN MRT STATION,1.3512585802181487,103.84922134159733
MRT,BOON LAY MRT STATION,1.3386040238398946,103.70605907213312
LRT,KEAT HONG LRT STATION,1.378612166911701,103.74905150371548
LRT,JELAPANG LRT STATION,1.386696674570086,103.76450057714511
LRT,CHOA CHU KANG LRT STATION,1.3848220120042118,103.74454911650508
LRT,SENGKANG LRT STATION,1.3915744424954353,103.8954362593177
MRT,HARBOURFRONT MRT STATION,1.2654573483621465,103.82145073503058
LRT,PENDING LRT STATION,1.3761265378653345,103.771279750069
MRT,CLARKE QUAY MRT STATION,1.2885422168359955,103.84660479400927
MRT,BISHAN DEPOT,1.3537195830891957,103.85475566081189
LRT,BUKIT PANJANG LRT STATION,1.3779164477740589,103.76302226940588
LRT,FAJAR LRT STATION,1.3845326783049468,103.77083795605206
MRT,KOVAN MRT STATION,1.360179870884552,103.8850911161146
MRT,LORONG CHUAN MRT STATION,1.3516197560174719,103.86414412661502
MRT,MARYMOUNT MRT STATION,1.3487766564728836,103.83941284520753
MRT,HARBOURFRONT MRT STATION,1.2651641709876063,103.82156643390726
MRT,BUONA VISTA MRT STATION,1.306483702444755,103.79063266066841
MRT,CALDECOTT MRT STATION,1.3376585476525413,103.83954121435558
MRT,BUGIS MRT STATION,1.29945066554196,103.85688639259365
MRT,BOCC,1.3330542325780153,103.96531622543043
MRT,NEWTON MRT STATION,1.3135013090580043,103.83808187989462
MRT,HALIFAX SUB STATION CABLE TROUGH,1.310963493555377,103.84544890029818
MRT,CHINATOWN MRT STATION,1.2846275214384568,103.84455749349517
